Top 5 Campaigns by Click-Through Rate (CTR)
campaign_id,campaign_name,impressions,clicks,ctr_percentage
122,Campaign_122,332,24,7.23
552,Campaign_552,796,56,7.04
306,Campaign_306,601,41,6.82
907,Campaign_907,1126,74,6.57
797,Campaign_797,688,44,6.40


Advertisers with Highest Spend in the Last 30 Days
advertiser_id,advertiser_name,total_spent
240,Campaign_240,45.36,2242.81
241,Campaign_241,41.14,2245.43
242,Campaign_242,42.19,2278.01
243,Campaign_243,45.34,2283.13
244,Campaign_244,43.04,2277.53
245,Campaign_245,41.57,2323.69
246,Campaign_246,43.91,2302.38
247,Campaign_247,44.58,2297.93
248,Campaign_248,45.69,2286.46
249,Campaign_249,41.35,2250.61
250,Campaign_250,40.09,2258.34
251,Campaign_251,38.63,2278.25
253,Campaign_253,43.86,2255.37
254,Campaign_254,50.97,2300.44
256,Campaign_256,46.25,2275.85
257,Campaign_257,42.50,2287.79
258,Campaign_258,47.04,2267.87
259,Campaign_259,44.98,2289.95
260,Campaign_260,45.44,2246.66
261,Campaign_261,41.89,2246.95
262,Campaign_262,44.91,2285.82
263,Campaign_263,42.68,2250.60
265,Campaign_265,45.33,2263.04
266,Campaign_266,42.78,2290.30
267,Campaign_267,42.39,2260.56
268,Campaign_268,47.22,2242.29
269,Campaign_269,44.25,2284.51
270,Campaign_270,48.09,2275.48
271,Campaign_271,50.06,2267.75
272,Campaign_272,46.74,2247.62
274,Campaign_274,45.93,2270.63
275,Campaign_275,44.88,2268.13
277,Campaign_277,44.22,2265.12
278,Campaign_278,41.05,2259.20
279,Campaign_279,48.25,2288.82
280,Campaign_280,44.73,2251.27
281,Campaign_281,46.99,2261.80
282,Campaign_282,42.37,2248.59
284,Campaign_284,43.01,2264.84
285,Campaign_285,41.87,2259.52
286,Campaign_286,47.23,2287.72
287,Campaign_287,46.85,2274.91
288,Campaign_288,44.55,2248.51
289,Campaign_289,44.09,2264.81
291,Campaign_291,43.57,2286.86
292,Campaign_292,47.92,2280.26
293,Campaign_293,42.24,2261.02
294,Campaign_294,46.35,2292.84
295,Campaign_295,51.05,2287.05
296,Campaign_296,43.37,2274.12
297,Campaign_297,54.10,2266.37
299,Campaign_299,46.00,2283.66
300,Campaign_300,49.12,2288.70
301,Campaign_301,45.52,2271.64
302,Campaign_302,45.60,2242.77
303,Campaign_303,44.87,2267.16
305,Campaign_305,44.82,2266.78
306,Campaign_306,33.72,2300.38
307,Campaign_307,44.02,2220.76
308,Campaign_308,43.63,2252.96
309,Campaign_309,44.20,2254.36
310,Campaign_310,53.84,2280.03
311,Campaign_311,45.66,2263.85
313,Campaign_313,45.10,2267.06
315,Campaign_315,43.70,2272.94
316,Campaign_316,42.80,2258.85
317,Campaign_317,48.17,2254.63
318,Campaign_318,44.66,2261.59
320,Campaign_320,47.07,2231.33
321,Campaign_321,39.28,2280.95
323,Campaign_323,45.85,2255.15
325,Campaign_325,42.15,2251.79
326,Campaign_326,44.43,2273.73
327,Campaign_327,45.53,2293.24
328,Campaign_328,44.94,2286.34
329,Campaign_329,45.14,2265.30
330,Campaign_330,43.41,2251.79
332,Campaign_332,49.88,2246.03
333,Campaign_333,45.60,2257.37
334,Campaign_334,43.48,2275.99
335,Campaign_335,44.96,2264.10
336,Campaign_336,44.16,2271.20
338,Campaign_338,50.21,2279.86
339,Campaign_339,46.31,2252.79
340,Campaign_340,49.98,2290.88
341,Campaign_341,49.03,2297.73
342,Campaign_342,40.89,2256.88
343,Campaign_343,46.54,2274.16
344,Campaign_344,44.78,2293.50
345,Campaign_345,42.46,2278.26
347,Campaign_347,49.10,2263.62
348,Campaign_348,46.13,2263.49
349,Campaign_349,42.44,2263.38
350,Campaign_350,47.19,2261.02
352,Campaign_352,42.03,2285.60
353,Campaign_353,52.29,2269.62
354,Campaign_354,41.97,2256.65
355,Campaign_355,42.85,2282.25
356,Campaign_356,42.71,2276.10
357,Campaign_357,44.38,2282.08
358,Campaign_358,46.53,2259.17
359,Campaign_359,45.15,2281.17
360,Campaign_360,48.04,2270.14
361,Campaign_361,40.76,2266.69
362,Campaign_362,44.66,2253.12
363,Campaign_363,47.13,2242.60
364,Campaign_364,45.34,2279.69
365,Campaign_365,47.82,2259.88
366,Campaign_366,46.53,2251.59
367,Campaign_367,43.51,2232.88
368,Campaign_368,95.25,2275.63
369,Campaign_369,43.68,2262.68
370,Campaign_370,45.43,2256.24
371,Campaign_371,52.94,2278.09
374,Campaign_374,46.87,2249.19
375,Campaign_375,50.43,2259.80
376,Campaign_376,49.38,2282.28
378,Campaign_378,43.79,2272.86
379,Campaign_379,44.22,2278.80
380,Campaign_380,43.10,2268.20
382,Campaign_382,45.22,2272.36
384,Campaign_384,46.97,2281.11
385,Campaign_385,43.23,2247.00
386,Campaign_386,51.07,2261.02
387,Campaign_387,46.24,2277.61
388,Campaign_388,45.78,2299.97
389,Campaign_389,48.76,2272.59
390,Campaign_390,44.04,2260.79
391,Campaign_391,47.98,2276.33
392,Campaign_392,47.64,2265.91
393,Campaign_393,42.31,2275.89
394,Campaign_394,46.76,2279.52
395,Campaign_395,37.03,2254.73
396,Campaign_396,42.78,2269.92
397,Campaign_397,48.33,2277.42
398,Campaign_398,45.57,2252.87
399,Campaign_399,41.10,2258.09
400,Campaign_400,51.84,2270.77
401,Campaign_401,45.96,2277.40
403,Campaign_403,48.42,2275.32
404,Campaign_404,46.44,2287.23
406,Campaign_406,44.82,2249.53
408,Campaign_408,44.17,2241.57
409,Campaign_409,40.68,2262.91
410,Campaign_410,44.81,2284.38
411,Campaign_411,46.46,2292.82
412,Campaign_412,45.51,2278.17
413,Campaign_413,51.39,2301.12
414,Campaign_414,48.81,2274.74
415,Campaign_415,45.20,2242.02
416,Campaign_416,41.67,2282.20
418,Campaign_418,44.67,2255.06
419,Campaign_419,44.48,2248.24
421,Campaign_421,52.88,2265.93
422,Campaign_422,44.69,2262.22
424,Campaign_424,38.33,2268.29
425,Campaign_425,39.78,2257.16
426,Campaign_426,47.62,2270.87
427,Campaign_427,49.03,2268.96
428,Campaign_428,46.04,2292.09
429,Campaign_429,44.58,2269.38
430,Campaign_430,44.90,2273.00
431,Campaign_431,48.59,2270.39
433,Campaign_433,40.52,2261.02
434,Campaign_434,46.07,2282.89
435,Campaign_435,47.77,2287.33
436,Campaign_436,42.10,2259.01
438,Campaign_438,46.27,2273.01
439,Campaign_439,46.26,2252.41
441,Campaign_441,49.13,2276.34
442,Campaign_442,46.07,2304.27
443,Campaign_443,42.42,2207.62
444,Campaign_444,43.09,2279.05
445,Campaign_445,51.64,2293.37
446,Campaign_446,45.07,2277.00
448,Campaign_448,45.27,2262.66
449,Campaign_449,42.93,2290.87
450,Campaign_450,45.52,2264.19
451,Campaign_451,44.63,2269.41
452,Campaign_452,46.63,2264.99
453,Campaign_453,47.61,2256.82
454,Campaign_454,47.81,2279.95
455,Campaign_455,45.66,2294.41
456,Campaign_456,42.76,2290.91
457,Campaign_457,47.65,2284.24
458,Campaign_458,47.37,2297.60
459,Campaign_459,44.59,2316.43
460,Campaign_460,45.55,2285.76
461,Campaign_461,49.58,2283.90
462,Campaign_462,45.62,2258.41
463,Campaign_463,40.11,2176.40
464,Campaign_464,44.82,2255.97
465,Campaign_465,42.66,2245.81
466,Campaign_466,41.19,2287.69
467,Campaign_467,44.65,2257.55
469,Campaign_469,47.33,2276.57
471,Campaign_471,43.87,2265.75
472,Campaign_472,42.80,2278.51
473,Campaign_473,41.69,2321.12
474,Campaign_474,49.18,2230.39
478,Campaign_478,44.49,2264.23
480,Campaign_480,47.32,2272.15
481,Campaign_481,53.69,2273.85
482,Campaign_482,62.67,2250.52
483,Campaign_483,48.77,2251.70
484,Campaign_484,53.71,2263.75
485,Campaign_485,44.20,2282.58
486,Campaign_486,42.49,2264.66
487,Campaign_487,43.51,2246.37
488,Campaign_488,47.94,2298.33
489,Campaign_489,47.21,2256.28
490,Campaign_490,47.57,2280.80
491,Campaign_491,46.63,2265.17
492,Campaign_492,47.87,2268.66
493,Campaign_493,35.59,2237.71
494,Campaign_494,45.73,2278.09
495,Campaign_495,43.49,2259.66
496,Campaign_496,49.10,2258.78
497,Campaign_497,46.94,2289.27
498,Campaign_498,41.81,2270.29
499,Campaign_499,43.81,2270.93
501,Campaign_501,42.23,2275.97
502,Campaign_502,45.80,2289.32
503,Campaign_503,45.72,2296.21
504,Campaign_504,42.66,2283.63
505,Campaign_505,45.09,2270.39
506,Campaign_506,42.12,2244.56
507,Campaign_507,50.92,2240.07
508,Campaign_508,43.40,2240.27
509,Campaign_509,50.75,2268.41
510,Campaign_510,46.72,2259.49
511,Campaign_511,45.75,2256.71
512,Campaign_512,41.93,2284.54
513,Campaign_513,45.20,2283.63
514,Campaign_514,48.30,2270.74
515,Campaign_515,47.01,2291.99
516,Campaign_516,44.79,2264.44
517,Campaign_517,42.53,2265.30
519,Campaign_519,46.57,2265.60
520,Campaign_520,43.22,2272.99
522,Campaign_522,46.67,2305.50
523,Campaign_523,53.31,2150.66
524,Campaign_524,49.42,2283.73
526,Campaign_526,49.65,2270.24
527,Campaign_527,47.55,2272.46
528,Campaign_528,47.52,2256.99
529,Campaign_529,46.09,2275.54
530,Campaign_530,45.74,2288.50
531,Campaign_531,41.85,2263.84
532,Campaign_532,43.99,2264.13
534,Campaign_534,48.59,2245.81
535,Campaign_535,43.60,2270.92
536,Campaign_536,47.43,2277.28
537,Campaign_537,43.32,2301.45
538,Campaign_538,48.60,2266.29
539,Campaign_539,43.89,2280.33
540,Campaign_540,50.49,2277.94
541,Campaign_541,41.91,2278.99
542,Campaign_542,47.76,2277.63
543,Campaign_543,48.72,2309.02
544,Campaign_544,41.44,2255.89
545,Campaign_545,42.12,2288.34
546,Campaign_546,45.92,2268.35
547,Campaign_547,47.53,2250.24
548,Campaign_548,44.31,2257.00
549,Campaign_549,44.71,2274.99
550,Campaign_550,45.32,2250.40
551,Campaign_551,44.21,2292.06
552,Campaign_552,32.43,2281.52
553,Campaign_553,46.12,2295.88
554,Campaign_554,44.93,2277.62
555,Campaign_555,49.37,2257.64
556,Campaign_556,46.81,2264.58
557,Campaign_557,45.17,2256.83
559,Campaign_559,41.49,2255.65
560,Campaign_560,46.12,2265.17
561,Campaign_561,45.40,2292.49
562,Campaign_562,44.44,2246.15
564,Campaign_564,48.58,2295.19
565,Campaign_565,44.79,2295.43
567,Campaign_567,51.56,2275.30
568,Campaign_568,45.69,2261.21
569,Campaign_569,45.05,2251.73
570,Campaign_570,50.07,2267.32
571,Campaign_571,46.07,2273.11
573,Campaign_573,42.66,2266.42
575,Campaign_575,41.28,2277.73
576,Campaign_576,47.91,2258.11
578,Campaign_578,43.19,2271.78
580,Campaign_580,42.14,2274.47
582,Campaign_582,42.38,2226.42
583,Campaign_583,47.46,2263.36
584,Campaign_584,39.80,2264.86
585,Campaign_585,42.62,2277.31
587,Campaign_587,44.51,2265.17
588,Campaign_588,46.71,2284.51
590,Campaign_590,46.06,2271.87
592,Campaign_592,49.35,2262.73
593,Campaign_593,44.05,2275.05
594,Campaign_594,45.59,2246.26
595,Campaign_595,43.51,2276.71
596,Campaign_596,47.39,2211.01
597,Campaign_597,42.61,2265.44
598,Campaign_598,52.85,2226.64
599,Campaign_599,44.60,2258.73
601,Campaign_601,42.72,2282.47
602,Campaign_602,44.93,2272.93
603,Campaign_603,49.14,2269.30
604,Campaign_604,47.45,2290.77
606,Campaign_606,45.02,2261.59
607,Campaign_607,46.53,2286.37
608,Campaign_608,46.60,2262.32
609,Campaign_609,45.39,2269.79
610,Campaign_610,46.18,2265.91
611,Campaign_611,44.62,2247.01
612,Campaign_612,44.78,2265.16
613,Campaign_613,47.05,2258.73
614,Campaign_614,46.97,2252.03
615,Campaign_615,44.35,2273.97
616,Campaign_616,45.75,2265.08
617,Campaign_617,48.39,2283.72
619,Campaign_619,41.35,2264.69
620,Campaign_620,41.42,2235.83
621,Campaign_621,40.55,2221.64
622,Campaign_622,50.55,2309.20
623,Campaign_623,45.70,2260.28
624,Campaign_624,46.37,2303.45
625,Campaign_625,43.60,2279.27
626,Campaign_626,44.49,2281.00
628,Campaign_628,45.15,2278.92
629,Campaign_629,41.25,2272.63
630,Campaign_630,44.01,2252.08
631,Campaign_631,48.46,2261.91
632,Campaign_632,42.59,2277.98
633,Campaign_633,44.03,2282.42
634,Campaign_634,50.20,2268.13
635,Campaign_635,46.53,2268.39
636,Campaign_636,48.87,2259.00
637,Campaign_637,55.84,2287.92
638,Campaign_638,44.84,2261.43
640,Campaign_640,43.47,2272.08
641,Campaign_641,45.03,2254.40
642,Campaign_642,44.46,2254.95
643,Campaign_643,48.44,2256.86
644,Campaign_644,48.66,2272.42
645,Campaign_645,45.84,2289.14
646,Campaign_646,44.20,2267.23
647,Campaign_647,44.54,2213.14
648,Campaign_648,46.54,2256.79
649,Campaign_649,42.16,2246.28
650,Campaign_650,44.57,2269.18
651,Campaign_651,50.48,2285.82
652,Campaign_652,46.02,2265.23
654,Campaign_654,46.88,2282.34
655,Campaign_655,43.75,2265.80
657,Campaign_657,43.06,2235.26
658,Campaign_658,45.83,2251.79
659,Campaign_659,48.84,2284.02
661,Campaign_661,44.19,2254.62
662,Campaign_662,53.77,2250.15
663,Campaign_663,45.57,2244.74
664,Campaign_664,38.87,2257.29
665,Campaign_665,43.35,2257.82
666,Campaign_666,42.02,2262.74
667,Campaign_667,41.83,2232.81
668,Campaign_668,42.67,2263.85
669,Campaign_669,40.36,2248.40
670,Campaign_670,40.27,2252.88
671,Campaign_671,41.51,2269.85
672,Campaign_672,47.01,2271.87
673,Campaign_673,43.27,2277.28
674,Campaign_674,54.51,2272.05
675,Campaign_675,44.15,2297.67
676,Campaign_676,43.81,2253.03
677,Campaign_677,46.73,2225.46
678,Campaign_678,43.47,2275.17
679,Campaign_679,45.20,2253.87
681,Campaign_681,39.48,2237.05
682,Campaign_682,45.36,2268.09
683,Campaign_683,49.68,2276.78
684,Campaign_684,43.86,2259.02
685,Campaign_685,42.22,2262.90
686,Campaign_686,43.87,2280.67
687,Campaign_687,45.40,2280.50
688,Campaign_688,44.62,2254.10
689,Campaign_689,39.61,2253.36
690,Campaign_690,47.98,2271.61
691,Campaign_691,44.79,2274.02
692,Campaign_692,54.21,2257.72
693,Campaign_693,43.39,2285.88
694,Campaign_694,46.47,2251.08
695,Campaign_695,48.77,2269.42
696,Campaign_696,45.26,2269.56
697,Campaign_697,44.02,2273.06
698,Campaign_698,46.98,2274.25
700,Campaign_700,47.55,2256.37
701,Campaign_701,45.30,2251.07
703,Campaign_703,45.45,2262.31
704,Campaign_704,49.57,2255.81
705,Campaign_705,46.22,2277.74
706,Campaign_706,45.07,2300.54
707,Campaign_707,44.51,2245.68
708,Campaign_708,40.21,2211.42
709,Campaign_709,46.95,2288.51
710,Campaign_710,43.56,2273.85
711,Campaign_711,46.90,2261.77
712,Campaign_712,39.88,2274.72
713,Campaign_713,47.51,2260.47
714,Campaign_714,48.47,2267.44
715,Campaign_715,46.57,2171.81
716,Campaign_716,41.91,2253.99
718,Campaign_718,50.98,2263.91
719,Campaign_719,47.52,2240.79
720,Campaign_720,44.26,2278.62
721,Campaign_721,43.05,2291.10
722,Campaign_722,53.74,2286.67
723,Campaign_723,38.74,2254.83
724,Campaign_724,43.34,2231.28
725,Campaign_725,46.16,2279.80
727,Campaign_727,45.07,2246.85
728,Campaign_728,47.35,2261.97
729,Campaign_729,45.25,2268.11
730,Campaign_730,43.20,2283.13
731,Campaign_731,46.66,2255.22
732,Campaign_732,49.98,2296.29
733,Campaign_733,43.90,2271.31
734,Campaign_734,46.37,2263.08
735,Campaign_735,48.54,2259.95
737,Campaign_737,36.53,2290.00
739,Campaign_739,48.29,2281.93
740,Campaign_740,48.39,2268.96
742,Campaign_742,46.17,2261.23
743,Campaign_743,45.01,2258.22
744,Campaign_744,45.22,2274.13
745,Campaign_745,47.58,2279.86
746,Campaign_746,50.99,2299.28
747,Campaign_747,42.59,2271.67
748,Campaign_748,42.45,2267.06
749,Campaign_749,47.85,2253.70
750,Campaign_750,42.44,2289.78
751,Campaign_751,43.78,2242.83
752,Campaign_752,39.13,2276.55
753,Campaign_753,42.89,2284.23
754,Campaign_754,45.16,2263.92
755,Campaign_755,42.57,2250.38
756,Campaign_756,41.96,2222.80
757,Campaign_757,45.34,2264.46
758,Campaign_758,41.14,2263.49
759,Campaign_759,46.57,2249.28
760,Campaign_760,41.34,2277.55
762,Campaign_762,49.61,2253.28
763,Campaign_763,47.80,2259.31
764,Campaign_764,41.02,2284.96
765,Campaign_765,42.88,2277.21
767,Campaign_767,47.99,2249.08
768,Campaign_768,44.78,2275.49
769,Campaign_769,42.71,2256.06
770,Campaign_770,45.15,2265.61
771,Campaign_771,45.60,2280.94
772,Campaign_772,38.98,2234.54
773,Campaign_773,43.53,2249.25
774,Campaign_774,44.82,2267.86
776,Campaign_776,46.46,2267.80
777,Campaign_777,42.76,2270.93
778,Campaign_778,45.25,2282.04
779,Campaign_779,46.85,2275.98
782,Campaign_782,46.03,2291.00
783,Campaign_783,46.73,2282.47
785,Campaign_785,46.31,2283.36
